tweet_id,favorites,retweets,user_followers,user_favourites,date_time
682638830361513985,2146,643,7769815,141082,2015-12-31 19:05:54
682429480204398592,3583,1241,7769815,141082,2015-12-31 05:14:01
682406705142087680,7918,1875,7769815,141082,2015-12-31 03:43:31
682393905736888321,2338,728,7769815,141082,2015-12-31 02:52:40
682389078323662849,1736,496,7769815,141082,2015-12-31 02:33:29
682303737705140231,3210,1063,7769815,141082,2015-12-30 20:54:22
682259524040966145,4347,1288,7769815,141082,2015-12-30 17:58:40
682242692827447297,3394,1254,7769815,141082,2015-12-30 16:51:48
682088079302213632,19079,10519,7769815,141082,2015-12-30 06:37:25
682059653698686977,5172,1794,7769815,141082,2015-12-30 04:44:28
682047327939461121,3343,1027,7769815,141082,2015-12-30 03:55:29
682032003584274432,6871,2142,7769815,141082,2015-12-30 02:54:35
682003177596559360,3284,1633,7769815,141082,2015-12-30 01:00:03
681981167097122816,2914,1097,7769815,141082,2015-12-29 23:32:35
681891461017812993,2570,878,7769815,141082,2015-12-29 17:36:07
681694085539872773,13318,4310,7769815,141082,2015-12-29 04:31:49
681679526984871937,1838,478,7769815,141082,2015-12-29 03:33:58
681654059175129088,2746,987,7769815,141082,2015-12-29 01:52:46
681610798867845120,1990,504,7770420,141083,2015-12-28 23:00:52
681579835668455424,3697,1383,7769815,141082,2015-12-28 20:57:50
681523177663676416,14948,6175,7769815,141082,2015-12-28 17:12:42
681340665377193984,1712,297,7769815,141082,2015-12-28 05:07:27
681339448655802368,9699,4323,7769815,141082,2015-12-28 05:02:37
681320187870711809,2770,805,7769815,141082,2015-12-28 03:46:05
681302363064414209,4112,1944,7769815,141082,2015-12-28 02:35:15
681297372102656000,3339,1017,7769815,141082,2015-12-28 02:15:26
681281657291280384,3352,1172,7769815,141082,2015-12-28 01:12:59
681261549936340994,1518,291,7769815,141082,2015-12-27 23:53:05
681242418453299201,1561,573,7769815,141082,2015-12-27 22:37:04
681231109724700672,2504,514,7770420,141083,2015-12-27 21:52:07
681193455364796417,3869,1579,7769815,141082,2015-12-27 19:22:30
680970795137544192,2533,710,7769815,141082,2015-12-27 04:37:44
680959110691590145,4744,2126,7769815,141082,2015-12-27 03:51:18
680940246314430465,3359,1122,7769815,141082,2015-12-27 02:36:20
680934982542561280,2164,466,7769815,141082,2015-12-27 02:15:25
680913438424612864,2495,657,7769815,141082,2015-12-27 00:49:49
680889648562991104,1840,387,7769815,141082,2015-12-26 23:15:17
680836378243002368,3607,1411,7769815,141082,2015-12-26 19:43:36
680805554198020098,2254,705,7769815,141082,2015-12-26 17:41:07
680801747103793152,2466,877,7769815,141082,2015-12-26 17:25:59
680798457301471234,2978,1109,7769815,141082,2015-12-26 17:12:55
680609293079592961,2748,755,7769815,141082,2015-12-26 04:41:15
680583894916304897,3780,1433,7769815,141082,2015-12-26 03:00:19
680497766108381184,4413,2026,7769815,141082,2015-12-25 21:18:05
680494726643068929,1790,510,7769815,141082,2015-12-25 21:06:00
680473011644985345,2656,792,7769815,141082,2015-12-25 19:39:43
680440374763077632,1513,535,7769815,141082,2015-12-25 17:30:01
680221482581123072,1516,305,7769815,141082,2015-12-25 03:00:14
680206703334408192,2962,1251,7769815,141082,2015-12-25 02:01:30
680191257256136705,2232,536,7769815,141082,2015-12-25 01:00:07
680176173301628928,4063,1665,7769815,141082,2015-12-25 00:00:11
680161097740095489,2420,782,7769815,141082,2015-12-24 23:00:17
